Label,N,Cmps,Swaps
bubble-odd,13,122,39
bubble-odd,26,523,163
bubble-odd,52,2272,670
bubble-odd,104,9530,2699
bubble-odd,208,39704,10736
bubble-odd,416,162738,43113
bubble-odd,832,662847,173263
bubble-odd,1664,2684015,693900
bubble-odd,3328,10833643,2768631
bubble-odd,6656,43557041,11062716
bubble-odd,13312,175069999,44309403
bubble-even,10,67,23
bubble-even,20,308,95
bubble-even,40,1315,396
bubble-even,80,5514,1582
bubble-even,160,23008,6362
bubble-even,320,95144,25725
bubble-even,640,388716,102487
bubble-even,1280,1587788,409949
bubble-even,2560,6389771,1633407
bubble-even,5120,25730602,6557728
bubble-even,10240,103562979,26210419
quick-odd,13,144,11
quick-odd,26,341,28
quick-odd,52,788,70
quick-odd,104,1807,170
quick-odd,208,4125,403
quick-odd,416,9068,919
quick-odd,832,20088,2079
quick-odd,1664,43805,4641
quick-odd,3328,95179,10243
quick-odd,6656,205589,22408
quick-odd,13312,442029,48669
quick-even,10,102,7
quick-even,20,247,20
quick-even,40,579,51
quick-even,80,1328,123
quick-even,160,3009,291
quick-even,320,6733,675
quick-even,640,14888,1531
quick-even,1280,32491,3434
quick-even,2560,71160,7602
quick-even,5120,153246,16658
quick-even,10240,331443,36258
